dir,experiment,benchmark,rob,bp,l1d,l1i,l2,issue_width,commit_width,simInsts,IPC,CPI,L1D_miss_rate,L2_miss_rate,console_exists,status
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2256kB,compute_rob128_bpBiModeBP_l132kB_l2256kB,compute,128,BiModeBP,,32kB,256kB,,,,,,,,False,empty-or-missing
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2256kB_iw2_cw2,compute_rob128_bpBiModeBP_l132kB_l2256kB_iw2_cw2,compute,128,BiModeBP,,32kB,256kB,2,2,901195.0,0.949893,1.05275,0.077102,0.884095,False,ok
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2256kB_iw2_cw4,compute_rob128_bpBiModeBP_l132kB_l2256kB_iw2_cw4,compute,128,BiModeBP,,32kB,256kB,2,4,901195.0,0.963196,1.03821,0.077407,0.884044,False,ok
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2256kB_iw4_cw2,compute_rob128_bpBiModeBP_l132kB_l2256kB_iw4_cw2,compute,128,BiModeBP,,32kB,256kB,4,2,,,,,,False,empty-or-missing
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2256kB_iw4_cw4,compute_rob128_bpBiModeBP_l132kB_l2256kB_iw4_cw4,compute,128,BiModeBP,,32kB,256kB,4,4,901195.0,1.122351,0.890987,0.076186,0.879283,False,ok
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2512kB,compute_rob128_bpBiModeBP_l132kB_l2512kB,compute,128,BiModeBP,,32kB,512kB,,,,,,,,False,empty-or-missing
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2512kB_iw2_cw2,compute_rob128_bpBiModeBP_l132kB_l2512kB_iw2_cw2,compute,128,BiModeBP,,32kB,512kB,2,2,901195.0,0.949893,1.05275,0.077102,0.884095,False,ok
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2512kB_iw2_cw4,compute_rob128_bpBiModeBP_l132kB_l2512kB_iw2_cw4,compute,128,BiModeBP,,32kB,512kB,2,4,901195.0,0.963196,1.03821,0.077407,0.884044,False,ok
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2512kB_iw4_cw2,compute_rob128_bpBiModeBP_l132kB_l2512kB_iw4_cw2,compute,128,BiModeBP,,32kB,512kB,4,2,,,,,,False,empty-or-missing
results/experiments/compute_rob128_bpBiModeBP_l132kB_l2512kB_iw4_cw4,compute_rob128_bpBiModeBP_l132kB_l2512kB_iw4_cw4,compute,128,BiModeBP,,32kB,512kB,4,4,901195.0,1.122351,0.890987,0.076186,0.879283,False,ok
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2256kB,compute_rob128_bpBiModeBP_l164kB_l2256kB,compute,128,BiModeBP,,64kB,256kB,,,,,,,,False,empty-or-missing
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2256kB_iw2_cw2,compute_rob128_bpBiModeBP_l164kB_l2256kB_iw2_cw2,compute,128,BiModeBP,,64kB,256kB,2,2,901195.0,0.951979,1.050443,0.071782,0.947877,False,ok
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2256kB_iw2_cw4,compute_rob128_bpBiModeBP_l164kB_l2256kB_iw2_cw4,compute,128,BiModeBP,,64kB,256kB,2,4,901195.0,0.966361,1.03481,0.072351,0.948043,False,ok
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2256kB_iw4_cw2,compute_rob128_bpBiModeBP_l164kB_l2256kB_iw4_cw2,compute,128,BiModeBP,,64kB,256kB,4,2,,,,,,False,empty-or-missing
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2256kB_iw4_cw4,compute_rob128_bpBiModeBP_l164kB_l2256kB_iw4_cw4,compute,128,BiModeBP,,64kB,256kB,4,4,901195.0,1.127459,0.88695,0.070389,0.946193,False,ok
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2512kB,compute_rob128_bpBiModeBP_l164kB_l2512kB,compute,128,BiModeBP,,64kB,512kB,,,,,,,,False,empty-or-missing
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2512kB_iw2_cw2,compute_rob128_bpBiModeBP_l164kB_l2512kB_iw2_cw2,compute,128,BiModeBP,,64kB,512kB,2,2,901195.0,0.951979,1.050443,0.071782,0.947877,False,ok
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2512kB_iw2_cw4,compute_rob128_bpBiModeBP_l164kB_l2512kB_iw2_cw4,compute,128,BiModeBP,,64kB,512kB,2,4,901195.0,0.966361,1.03481,0.072351,0.948043,False,ok
results/experiments/compute_rob128_bpBiModeBP_l164kB_l2512kB_iw4_cw2,compute_rob128_bpBiModeBP_l164kB_l2512kB_iw4_cw2,compute,128,BiModeBP,,64kB,512kB,4,2,,,,,,False,empty-or-missing
